pokemon_id,move_id,pokemon_name,move_name
3,4,이상해꽃,애시드봄
3,6,이상해꽃,코골기
3,7,이상해꽃,웨더볼
3,12,이상해꽃,에너지볼
3,23,이상해꽃,기가드레인
3,24,이상해꽃,풀묶기
3,46,이상해꽃,솔라빔
3,47,이상해꽃,대지의힘
3,69,이상해꽃,파괴광선
3,73,이상해꽃,꽃잎댄스
3,82,이상해꽃,오물웨이브
3,84,이상해꽃,오물폭탄
3,85,이상해꽃,베놈쇼크
3,110,이상해꽃,리프스톰
3,113,이상해꽃,돌림노래
3,150,이상해꽃,객기
3,156,이상해꽃,기가임팩트
3,164,이상해꽃,역린
3,181,이상해꽃,지진
3,184,이상해꽃,분함의발구르기
3,186,이상해꽃,땅고르기
3,198,이상해꽃,이판사판태클
3,212,이상해꽃,씨폭탄
3,213,이상해꽃,씨기관총
3,231,이상해꽃,독찌르기
3,256,이상해꽃,누르기
3,262,이상해꽃,탁쳐서떨구기
3,266,이상해꽃,꽃보라
3,268,이상해꽃,파워휩
3,319,이상해꽃,달콤한향기
3,320,이상해꽃,애교부리기
3,364,이상해꽃,그래스필드
3,367,이상해꽃,광합성
3,373,이상해꽃,버티기
3,374,이상해꽃,겁나는얼굴
3,400,이상해꽃,성장
3,412,이상해꽃,칼춤
3,413,이상해꽃,도우미
3,424,이상해꽃,맹독
3,425,이상해꽃,독가루
3,432,이상해꽃,망각술
3,439,이상해꽃,고민씨
3,442,이상해꽃,쾌청
3,445,이상해꽃,잠꼬대
3,447,이상해꽃,수면가루
3,448,이상해꽃,잠자기
3,449,이상해꽃,뿌리박기
3,451,이상해꽃,저주
3,460,이상해꽃,빛의장막
3,474,이상해꽃,울부짖기
3,481,이상해꽃,방어
3,483,이상해꽃,대타출동
3,493,이상해꽃,씨뿌리기
3,563,이상해꽃,하드플랜트
3,574,이상해꽃,그래스슬라이더
3,576,이상해꽃,대지의파동
3,655,이상해꽃,개척하기
4,4,메가이상해꽃,애시드봄
4,6,메가이상해꽃,코골기
4,7,메가이상해꽃,웨더볼
4,12,메가이상해꽃,에너지볼
4,23,메가이상해꽃,기가드레인
4,24,메가이상해꽃,풀묶기
4,46,메가이상해꽃,솔라빔
4,47,메가이상해꽃,대지의힘
4,69,메가이상해꽃,파괴광선
4,73,메가이상해꽃,꽃잎댄스
4,82,메가이상해꽃,오물웨이브
4,84,메가이상해꽃,오물폭탄
4,85,메가이상해꽃,베놈쇼크
4,110,메가이상해꽃,리프스톰
4,113,메가이상해꽃,돌림노래
4,150,메가이상해꽃,객기
4,156,메가이상해꽃,기가임팩트
4,164,메가이상해꽃,역린
4,181,메가이상해꽃,지진
4,184,메가이상해꽃,분함의발구르기
4,186,메가이상해꽃,땅고르기
4,198,메가이상해꽃,이판사판태클
4,212,메가이상해꽃,씨폭탄
4,213,메가이상해꽃,씨기관총
4,231,메가이상해꽃,독찌르기
4,256,메가이상해꽃,누르기
4,262,메가이상해꽃,탁쳐서떨구기
4,266,메가이상해꽃,꽃보라
